label,em,f1,bleu
"(0, 3]",64.28571428571429,82.60582010582011,
"(3, 10]",57.5,83.00742340448222,70.86185079222011
"(10, 17]",30.555555555555557,76.46003991251781,67.94352759179361
"(17, 25]",41.1764705882353,70.92715263518775,65.03450289277568
"(25, 35]",57.142857142857146,85.9098741380026,80.2955890187142
"(35, 50]",11.764705882352942,53.49777396766037,34.09269424091359
"(50, 100]",23.076923076923077,53.36989660525422,28.972386915178124
