label,em,f1,bleu
"(0, 3]",50.0,68.81465270927578,
"(3, 10]",65.0,88.38601703307585,80.38779782323793
"(10, 17]",30.555555555555557,73.84186626751574,62.44626547430327
"(17, 25]",35.294117647058826,69.20095718749837,64.35552263055335
"(25, 35]",38.095238095238095,72.1182667413532,61.17618568883254
"(35, 50]",17.647058823529413,59.55977836331638,51.61157528250073
"(50, 100]",23.076923076923077,58.852473072723555,44.193863333849436
