method,no_params,param_ratio,em,f1,bleu
IA3," 282,624 ",0.0361,45.3202,75.6710,59.1720
LoRA," 7,077,888 ",0.8957,42.8571,75.7502,61.2167
Prefix-tuning," 1,228,800 ",0.1567,41.3793,72.5560,60.0955
Bottleneck adapter," 25,276,416 ",3.1266,40.3941,70.1237,51.1167
0 shot prompt,,,17.2414,42.7075,32.1531
